dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,humidity,pressure,temperature,wind_speed,wind_direction,delay_difference,total_delay,temperature_c,temp_category,date
2013-10-21 19:24:00,2013-10-21 19:30:00,-6.0,2013-10-21 20:31:00,2013-10-21 20:49:00,-18.0,EV,5769,N909EV,LGA,IAD,47.0,229,0.2873563218390805,0.2391304347826093,0.6867899309423029,0.1538461538461538,0.6777777777777778,-12.0,-24.0,18.90000000000004,Hangat,2013-10-21
2013-11-02 11:04:00,2013-11-02 11:10:00,-6.0,2013-11-02 14:18:00,2013-11-02 14:12:00,6.0,DL,1875,N319NB,LGA,TPA,160.0,1010,0.8160919540229885,0.6413043478260878,0.5278829732011587,0.0,0.9194444444444444,12.0,0.0,11.766666667000038,Sejuk,2013-11-02
2013-12-30 21:42:00,2013-12-30 21:35:00,7.0,2013-12-30 22:49:00,2013-12-30 22:41:00,8.0,B6,1218,N193JB,JFK,BOS,35.0,187,0.7701149425287357,0.6521739130434785,0.2650924482067269,0.2307692307692307,0.7361111111111112,1.0,15.0,-0.0299999999999727,Dingin,2013-12-30
2013-12-17 14:58:00,2013-12-17 13:40:00,78.0,2013-12-17 19:17:00,2013-12-17 17:15:00,122.0,WN,516,N554WN,EWR,PHX,308.0,2133,0.7701149425287357,0.6739130434782616,0.1670750723991982,0.0769230769230769,0.2027777777777777,44.0,200.0,-4.42999999999995,Dingin,2013-12-17
2013-02-11 07:17:00,2013-02-11 07:15:00,2.0,2013-02-11 10:29:00,2013-02-11 10:27:00,2.0,UA,1299,N27205,EWR,RSW,164.0,1068,0.6896551724137931,0.9021739130434784,0.1430162619737123,0.2307692307692307,0.9027777777777778,0.0,4.0,-5.509999999999991,Dingin,2013-02-11
2013-04-17 17:23:00,2013-04-17 17:25:00,-2.0,2013-04-17 20:12:00,2013-04-17 20:10:00,2.0,UA,1109,N29129,EWR,MCO,135.0,937,0.5747126436781609,0.7282608695652186,0.6357763421697475,0.3846153846153846,0.4722222222222222,4.0,0.0,16.610000000000014,Hangat,2013-04-17
2013-10-09 07:50:00,2013-10-09 08:00:00,-10.0,2013-10-09 09:07:00,2013-10-09 09:18:00,-11.0,US,2171,N744P,LGA,DCA,50.0,214,0.6781609195402298,0.3478260869565233,0.4756070394297165,0.1538461538461538,0.1138888888888888,-1.0,-21.0,9.420000000000016,Sejuk,2013-10-09
2013-11-08 10:23:00,2013-11-08 10:25:00,-2.0,2013-11-08 13:10:00,2013-11-08 13:25:00,-15.0,AA,1131,N3FKAA,LGA,DFW,202.0,1389,0.4942528735632184,0.608695652173914,0.3882824682557348,0.3846153846153846,0.8055555555555556,-13.0,-17.0,5.5,Sejuk,2013-11-08
2013-04-07 08:47:00,2013-04-07 08:50:00,-3.0,2013-04-07 10:00:00,2013-04-07 10:38:00,-38.0,UA,673,N451UA,EWR,ORD,117.0,719,0.2873563218390805,0.6521739130434785,0.3276899086656266,0.4615384615384616,0.888888888888889,-35.0,-41.0,2.7800000000000296,Sejuk,2013-04-07
2013-02-13 16:32:00,2013-02-13 16:30:00,2.0,2013-02-13 19:53:00,2013-02-13 20:15:00,-22.0,VX,27,N838VA,JFK,SFO,360.0,2586,0.367816091954023,0.5760869565217401,0.3945199376253061,0.3846153846153846,0.75,-24.0,-20.0,5.78000000000003,Sejuk,2013-02-13
